gene_id,gene_name,total_reads,log2fc,pvalue,padj,condition,chromosome
ENSG00000012048,BRCA1,15420,2.31,0.00012,0.0034,treatment,chr17
ENSG00000141510,TP53,32100,-1.85,1e-05,0.0005,control,chr17
ENSG00000136997,MYC,8900,3.12,0.00045,0.0089,treatment,chr8
ENSG00000146648,EGFR,750,0.42,0.23,0.45,control,chr7
ENSG00000133703,KRAS,22300,-2.67,2e-05,0.0008,treatment,chr12
ENSG00000157764,BRAF,4200,1.05,0.012,0.045,control,chr7
ENSG00000171862,PTEN,18700,-3.1,1e-05,0.0003,treatment,chr10
ENSG00000139618,BRCA2,6100,0.89,0.08,0.19,control,chr13
ENSG00000149311,ATM,12400,1.74,0.00089,0.012,treatment,chr11
ENSG00000196712,NF1,3200,-0.31,0.45,0.62,control,chr17
ENSG00000183765,CHEK2,9800,2.45,0.00023,0.0056,treatment,chr22
ENSG00000116478,HDM2,28500,-1.23,0.0034,0.034,control,chr12
ENSG00000105329,TGFB1,1100,0.15,0.67,0.78,treatment,chr19
ENSG00000181143,MUS81,14300,1.92,0.00056,0.0095,control,chr11
ENSG00000012048,RB1,19200,-2.89,1e-05,0.0002,treatment,chr13
ENSG00000168036,CTNNB1,7600,1.34,0.0078,0.038,control,chr3
ENSG00000141736,ERBB2,890,0.08,0.89,0.91,treatment,chr17
ENSG00000134086,VHL,25600,-1.67,0.00015,0.0039,control,chr3
ENSG00000073060,SCARB1,420,0.22,0.54,0.68,treatment,chr12
ENSG00000185825,BCOR,11200,2.78,9e-05,0.0028,control,chrX
